Subject_ID,Group,Trial_Num,Segment_Num,N_Points,Duration_s,Peak_Velocity,Mean_Velocity,N_Submovements,SPARC
02,Aged_Control,1,39,65,1.92,1414.9990184527396,330.82841465467914,5,-1.6961310124791198
02,Aged_Control,1,40,75,2.22,1534.5104177626934,284.4411979109091,4,-1.7600501031636777
02,Aged_Control,1,41,77,2.28,1192.8024890055246,237.80095452549844,5,-1.5839147861547267
02,Aged_Control,1,42,87,2.58,1456.0219778561031,236.00897713083873,6,-1.4596593530773576
02,Aged_Control,1,43,78,2.31,884.5903006477055,243.73849172477094,10,-1.6815366859980898
02,Aged_Control,1,44,90,2.67,1140.1754250991355,209.16233274548003,8,-1.496949030812551
02,Aged_Control,1,45,68,2.01,1234.346430752367,272.2873511379629,3,-1.740307834965265
02,Aged_Control,1,46,69,2.04,1317.0885400086893,265.1728098291803,4,-1.7363372579599592
02,Aged_Control,1,47,74,2.19,1650.336665990035,287.36968702230945,4,-1.681096879860324
02,Aged_Control,1,48,73,2.16,1496.8485412878458,254.00152785169107,5,-1.733490620419316
02,Aged_Control,1,49,90,2.67,1602.9486718059447,255.42104038691403,9,-1.882923895909091
02,Aged_Control,1,50,82,2.43,1867.8567634829176,251.45489437085124,5,-1.8036811562965105
02,Aged_Control,1,51,132,3.93,1268.6388155990032,150.80265774887948,13,-1.831058893473088
02,Aged_Control,1,52,108,3.21,1457.7379737113238,208.30703964642979,8,-1.6136036546833292
02,Aged_Control,1,53,225,6.72,1195.0127846828943,93.02587683059542,6,-1.9671716592057291
02,Aged_Control,1,54,142,4.23,1201.8504251546613,143.54161261448957,14,-1.5056210292060883
02,Aged_Control,1,55,134,3.99,1285.0637684134183,146.90994511280522,11,-1.5266276931574119
02,Aged_Control,1,56,114,3.39,984.6036991827941,172.92754461279412,13,-1.469643932541861
02,Aged_Control,1,57,113,3.36,1070.0467279516358,165.26923661416953,10,-1.8004244840792403
02,Aged_Control,1,58,214,6.39,955.2486587271388,93.84290351038918,27,-2.368046809414254
02,Aged_Control,1,59,127,3.78,1577.7973394718495,179.2712733765409,13,-2.126806686888551
02,Aged_Control,1,60,97,2.88,1136.392928915388,205.97907928643465,10,-1.994322594618549
02,Aged_Control,1,61,75,2.22,726.1006970264,188.45603985791473,5,-2.3426378398508296
02,Aged_Control,1,62,70,2.07,976.6723549322402,231.7906706794212,7,-1.567091509041439
02,Aged_Control,1,63,70,2.07,712.0003121097972,200.2018503699881,8,-1.760859613409405
02,Aged_Control,1,64,69,2.04,977.8093429248438,224.50253023623213,4,-1.7388518535257311
02,Aged_Control,1,65,59,1.74,1168.5698761972062,236.06058337299962,2,-1.5860525386321602
02,Aged_Control,1,66,70,2.07,1003.4662148993618,205.14899601910085,6,-1.7536955212507754
02,Aged_Control,1,67,69,2.04,1286.2520921049831,234.45998274401327,6,-1.675850273986939
02,Aged_Control,1,68,65,1.92,926.7625849638574,237.06656285676448,7,-1.441261568957174
02,Aged_Control,1,69,62,1.83,1371.6373022373255,271.72772854389825,6,-1.8781947789028524
02,Aged_Control,1,70,60,1.77,1242.4214708025245,246.78698372508103,3,-1.638468653658873
02,Aged_Control,1,71,103,3.06,1240.5196043952253,152.09258236466306,5,-1.582804146611732
02,Aged_Control,1,72,89,2.64,1365.650028374769,200.68579553996068,8,-1.739792747541696
02,Aged_Control,1,73,93,2.76,884.5903006477066,158.32699943321597,7,-1.7416832931505224
02,Aged_Control,1,74,76,2.25,797.5657409336935,209.50776645948636,10,-1.7826332798758422
02,Aged_Control,1,75,107,3.18,983.3333333333303,139.8776414590094,6,-1.467953679986259
02,Aged_Control,1,76,70,2.07,834.8319857578783,194.29522420285863,5,-1.7497294243722625
02,Aged_Control,1,77,98,2.91,1361.473874560624,164.83824486310834,8,-1.704933734829475
02,Aged_Control,1,78,70,2.07,930.0537618869141,206.05028683774708,8,-1.8421144929030533
02,Aged_Control,1,79,83,2.46,1144.3095929181225,195.42470860481504,6,-1.83601628030792
02,Aged_Control,1,80,62,1.83,1550.3583815076774,224.4156615908914,4,-1.6448867347418021
02,Aged_Control,1,81,136,4.05,1011.1874208078324,109.8745159824567,14,-1.5962861393717462
02,Aged_Control,1,82,140,4.17,1126.6962520770387,126.02138539848963,13,-1.4852758402922346
